ISBN_10,author,book_type,discounted_price,no_of_pages,original_price,published_date,publisher,title_of_book
9780768403053,Barbie Breathitt,Paperback,,316,$32.63,2012-08-21,Paperback,Gateway to the Seer Realm Look Again to See Beyond the Natural
9781405914970,M. J. Arlidge,eBook,,464,$15.99,2014-09-11,ePUB,Pop Goes the Weasel DI Helen Grace 2
9780755374076,Martina Cole,Paperback,$21.75,832,$24.99,2011-01-01,Paperback,Goodnight Lady A compelling thriller of power and corruption
9780547249643,George Orwell,eBook,,,$9.99,2013-09-03,Format,1984 
9780141903989,"James Baldwin,Caryl Phillips",eBook,,176,$15.99,2001-10-04,ePUB,Giovanni's Room 
9781407070742,Katie Flynn,eBook,,448,$15.99,2010-08-05,ePUB,A Mistletoe Kiss World War 2 Saga
9780765377081,"Cixin Liu,Joel Martinsen",Hardcover,,512,$51.90,2015-08-11,Hardcover,The Dark Forest 
9780141928982,C.S. Forester,eBook,,176,$15.99,2006-10-05,ePUB,Hornblower and the Crisis 
9780141926100,Antony Beevor,eBook,,512,$15.99,2007-10-04,ePUB,Stalingrad 
9781407034966,Terry Pratchett,eBook,,432,$14.99,2008-12-05,ePUB,Interesting Times (Discworld Novel 17)
9780463208823,Meg Collett,eBook,,,$1.39,2019-07-24,Format,Bless Her Dead Heart 
9781250303554,Alastair Reynolds,eBook,$5.99,,$6.22,2019-03-19,Format,Permafrost 
9781405923590,Mark Douglas-Home,eBook,,336,$15.99,2016-01-14,ePUB,The Woman Who Walked into the Sea 
9780748122868,Tom Wood,eBook,,400,$16.99,2012-03-13,ePUB,The Enemy (Victor the Assassin 2)
9781408820858,Anthony Bourdain,eBook,$17.99,336,$19.99,2010-12-20,ePUB,Kitchen Confidential 
9780141929569,Madeleine L'Engle,eBook,,208,$9.99,2007-11-01,ePUB,A Wrinkle in Time 
9780571328277,"Kieran Larwood,David Wyatt",eBook,$9.99,288,$10.99,2016-10-04,ePUB,The Legend of Podkin One-Ear WINNER - BLUE PETER BOOK AWARD
9780141905693,"George Grossmith,Weedon Grossmith,Ed Glinert",eBook,,256,$10.99,2000-01-01,ePUB,The Diary of a Nobody 
9780141933412,Helen Dunmore,eBook,,320,$15.99,2007-10-25,ePUB,A Spell of Winter WINNER OF THE WOMEN'S PRIZE FOR FICTION
9781407034690,Terry Pratchett,eBook,,432,$14.99,2008-12-16,ePUB,Guards! Guards! (Discworld Novel 8)
9780141369709,Robin Stevens,eBook,,336,$9.99,2016-03-24,ePUB,Jolly Foul Play A Murder Most Unladylike Mystery
9780857203090,Chris Carter,eBook,,512,$16.99,2013-08-15,ePUB,"One by One A brilliant serial killer thriller, featuring the unstoppable Robert Hunter"
9780241322536,John le Carré,eBook,,464,$15.99,2018-09-27,ePUB,Smiley's People George Smiley: Book 7
9780761187042,Valerie McKeehan,eBook,,144,$23.99,2015-10-06,ePUB,The Complete Book of Chalk Lettering Create and Develop Your Own Style - INCLUDES 3 BUILT-IN CHALKBOARDS
9781405943147,Mary Beth Keane,eBook,,400,$15.99,2019-08-08,ePUB,"Ask Again, Yes The gripping, emotional and life-affirming New York Times bestseller"
9781405523127,Val McDermid,eBook,,448,$11.99,2013-10-10,ePUB,Cross and Burn Tony Hill & Carol Jordan: Book 8
9780748129027,Martyn Johnson,eBook,,192,$12.99,2011-09-15,ePUB,What's Tha Up To? Memories of a Yorkshire Bobby
9781409021315,Robert Harris,eBook,,464,$15.99,2010-09-07,ePUB,Lustrum From the Sunday Times bestselling author
9780748112883,Jim Butcher,eBook,,512,$11.99,2009-12-03,ePUB,Princeps' Fury The Codex Alera: Book Five
9781310928338,T.A. White,eBook,,,$4.15,2016-04-20,Format,Pathfinder's Way 
9780748110612,Alexander McCall Smith,eBook,,256,$11.99,2008-10-02,ePUB,The No. 1 Ladies' Detective Agency No. 1 Ladies Detective Agency: Book 1
9781407070049,Kathy Reichs,eBook,,464,$15.99,2010-04-27,ePUB,Bones to Ashes (Temperance Brennan 10)
9780141969183,Jojo Moyes,eBook,,528,$15.99,2012-01-02,ePUB,Me Before You The Number One Bestseller
9780241383117,Mary Gaitskill,eBook,,208,$15.99,2019-05-02,ePUB,Bad Behavior 
9780061804038,"Bryan Burrough,John Helyar",eBook,,624,$6.99,2009-10-13,ePUB,Barbarians at the Gate The Fall of RJR Nabisco
9780547345901,Lois Lowry,eBook,,192,$5.99,2000-01-01,ePUB,The Giver A Newbery Award Winner
9780743273565,F. Scott Fitzgerald,Paperback,,180,$29.95,2004-10-01,Paperback,The Great Gatsby 
9780446179669,"James Patterson,Maxine Paetro",Paperback,,400,$36.25,2008-07-01,Paperback,4th of July Women's Murder Club Series : Book 4
9780349401874,Christine Feehan,eBook,,400,$7.99,2014-05-27,ePUB,Air Bound Sisters of the Heart Series: Book Three
9780755387069,"James Patterson,Andrew Gross",eBook,,340,$12.99,2011-06-23,ePUB,2nd Chance 
9780241977613,Deborah Levy,eBook,,208,$15.99,2019-08-29,ePUB,The Man Who Saw Everything 
9780241984000,Hanna Jameson,eBook,,352,$15.99,2019-01-24,ePUB,The Last The post-apocalyptic thriller that will keep you up all night
9781101533116,Julie Garwood,eBook,$13.99,1,$17.14,2011-06-07,ePUB,The Bride Lairds' Brides : Book 1
9780755385744,Rosie Goodwin,eBook,,313,$11.99,2012-05-10,ePUB,The Misfit An abandoned baby. A damaged child. A search for happiness.
9780007327645,Val McDermid,eBook,,288,$12.99,2009-05-22,ePUB,"Dead Beat (PI Kate Brannigan, Book 1) "
9780648324652,Keri Arthur,eBook,,,$6.99,2019-02-12,Format,Demon's Dance 
9780748124800,Dennis Lehane,eBook,,304,$11.99,2010-10-21,ePUB,Shutter Island 
9780141957074,Ian Kershaw,eBook,,592,$16.99,2011-08-25,ePUB,"The End Germany, 1944-45"
9780755371365,Adele Parks,eBook,,377,$12.99,2012-06-21,ePUB,Whatever It Takes The unputdownable hit from the Sunday Times bestselling author of BOTH OF YOU
9781405519229,J.K. Rowling,eBook,,480,$12.99,2012-09-27,ePUB,The Casual Vacancy 
9780141959238,C.S. Forester,eBook,,256,$15.99,2006-10-05,ePUB,The Ship 
9780007338672,Bernard Cornwell,eBook,,304,$12.99,2009-07-24,ePUB,"Sharpe's Gold The Destruction of Almeida, August 1810 (The Sharpe Series, Book 9)"
9781301917099,Steve Stone,eBook,,,$5.18,2016-02-02,Format,Afghan Heat SAS Operations in Afghanistan
9780755384808,Deborah Harkness,eBook,,592,$12.99,2014-07-15,ePUB,The Book of Life (All Souls 3)
9780755373260,Karen Rose,eBook,,544,$11.99,2010-05-13,ePUB,Silent Scream (The Minneapolis Series Book 2) 
9780356500959,Jim Butcher,Paperback,,646,$20.40,2013-09-10,Paperback,Cold Days Dresden Files : Book 14
9781405909914,"Clive Cussler,Jack du Brul",eBook,,496,$14.99,2012-07-05,ePUB,Dark Watch Oregon Files #3
9780571323777,Max Porter,eBook,$12.99,96,$14.29,2015-09-15,ePUB,Grief Is the Thing with Feathers 
9781250229786,Emily Tesh,eBook,$5.99,,$6.22,2019-06-18,Format,Silver in the Wood 
9780141904108,"Virginia Woolf,Stella McNichol,Elaine Showalter",eBook,,288,$10.99,2000-05-25,ePUB,Mrs Dalloway Penguin Classics
9780241398333,Kevin O'Rourke,eBook,,320,$15.99,2019-01-31,ePUB,A Short History of Brexit From Brentry to Backstop
9780241321942,John le Carré,eBook,,464,$15.99,2018-09-27,ePUB,Absolute Friends 
9780761168935,"Lawrence Katz,Manning Rubin",Paperback,,204,$20.25,2014-06-02,Paperback,Keep Your Brain Alive 83 Neurobic Exercises to Help Prevent Memory Loss and Increase Mental Fitness
9780575087491,"Andrzej Sapkowski,Danusia Stok",eBook,,320,$12.99,2010-08-19,ePUB,Blood of Elves The bestselling novel which inspired season 2 of Netflix's The Witcher
9780007329052,Trisha Ashley,eBook,,416,$8.99,2009-05-29,ePUB,Wedding Tiers 
9781405519946,Brian McClellan,eBook,,608,$11.99,2013-04-16,ePUB,Promise of Blood Book 1 in the Powder Mage trilogy
9780141938264,Barbara Vine,eBook,,304,$15.99,2009-05-07,ePUB,A Dark-Adapted Eye 
9780141952000,"David McKittrick,David McVea",eBook,,416,$18.99,2001-11-29,ePUB,Making Sense of the Troubles A History of the Northern Ireland Conflict
9780575122796,Frank Herbert,eBook,,800,$59.99,2012-11-30,ePUB,Dune: The Gateway Collection The inspiration for the blockbuster film
9781405944038,Geraint Jones,eBook,,400,$15.99,2019-12-12,ePUB,Ambush (Previously titled Blood Forest)
9780751555752,Alex Gray,eBook,,320,$12.99,2013-10-31,ePUB,Never Somewhere Else Book 1 in the Sunday Times bestselling detective series
9780356509303,Brian McClellan,eBook,,640,$12.99,2017-03-07,ePUB,Sins of Empire 
9780544465619,H. A. Rey,eBook,,24,$2.99,2014-06-17,ePUB,Curious George Haunted Halloween 
9781393148548,Vera Hollins,eBook,,,$4.29,2019-08-27,Format,"Bullied Bullied, #1"
9780547769332,"June Sobel,Laura Huliska-Beith",eBook,,32,$11.99,2006-09-01,ePUB,The Goodnight Train 
9780241961544,Lesley Pearse,eBook,,544,$15.99,2014-02-13,ePUB,Survivor A gripping and emotional story from the bestselling author of Stolen
9780571338764,Anna Burns,eBook,$14.99,352,$16.49,2018-05-15,ePUB,Milkman WINNER OF THE MAN BOOKER PRIZE 2018
9780241404300,Rana Foroohar,eBook,,256,$16.99,2019-11-07,ePUB,Don't Be Evil The Case Against Big Tech
9780141910048,Jonathan Coe,eBook,,416,$15.99,2008-05-28,ePUB,"The Rotters' Club 'One of those sweeping, ambitious yet hugely readable, moving, richly comic novels' Daily Telegraph"
9780241382929,John Sellars,eBook,,96,$14.99,2019-09-05,ePUB,Lessons in Stoicism What Ancient Philosophers Teach Us about How to Live
9780241981320,Jonathan Coe,eBook,,368,$15.99,2018-11-08,ePUB,Middle England Winner of the Costa Novel Award 2019
9780241283936,Meik Wiking,eBook,,288,$15.99,2016-09-01,ePUB,The Little Book of Hygge The Danish Way to Live Well: The Million Copy Bestseller
9780141972244,John le Carré,eBook,,160,$15.99,2011-11-03,ePUB,Call for the Dead George Smiley: Book 1
9780141969190,Jojo Moyes,eBook,,544,$15.99,2012-09-27,ePUB,The Girl You Left Behind 
9780748122981,James S. A. Corey,eBook,,560,$12.99,2013-06-04,ePUB,Abaddon's Gate Expanse: Book 3
9780753545195,Jack Fairweather,eBook,,528,$18.99,2019-06-27,ePUB,The Volunteer The True Story of the Resistance Hero who Infiltrated Auschwitz - Costa Book of the Year 2019
9781841498959,Iain M Banks,Paperback,$20.35,640,$22.99,2011-05-31,Paperback,Surface Detail Culture: Book 9
9781405917902,Catherine Alliott,eBook,,416,$15.99,2015-02-26,ePUB,Wish You Were Here 
9780857899767,Robert Fabbri,eBook,$6.99,300,$7.49,2013-01-01,ePUB,False God of Rome VESPASIAN III
9780141963624,"John le Carré,William Boyd",eBook,,272,$15.99,2011-02-24,ePUB,The Spy Who Came in from the Cold George Smiley: Book 3
9780857207296,Dale Carnegie Training,eBook,,272,$12.99,2011-09-29,ePUB,How to Win Friends and Influence People in the Digital Age 
9780571336234,Sue Prideaux,eBook,$14.99,416,$16.49,2018-10-02,ePUB,I Am Dynamite! A Life of Friedrich Nietzsche
9780141353975,Jacqueline Wilson,eBook,,320,$9.99,2015-07-30,ePUB,Katy 
9780316436489,"Tom Wright,Bradley Hope",eBook,,400,$23.99,2018-09-18,ePUB,"Billion Dollar Whale The Man Who Fooled Wall Street, Hollywood, and the World"
9781405921824,Tom Michell,eBook,,288,$14.99,2015-11-05,ePUB,The Penguin Lessons 
9780748125715,"Anne Lister,Helena Whitbread",eBook,,384,$12.99,2010-11-04,ePUB,The Secret Diaries Of Miss Anne Lister: Vol. 1 The extraordinary story of the first modern lesbian whose diaries 'changed everything' Emma Donoghue
9780141925912,Steven Pinker,eBook,,528,$18.99,2003-06-05,ePUB,The Blank Slate The Modern Denial of Human Nature
9780241188828,Mariana Mazzucato,eBook,,256,$15.99,2018-04-26,ePUB,The Value of Everything Making and Taking in the Global Economy
9781370239290,Chloe Walsh,eBook,,,$7.59,2023-03-23,Format,Endgame An Ocean Bay Standalone Novel
9781301652815,Danny Naten,eBook,,,$4.18,2015-05-11,Format,Auschwitz Escape The Klara Wizel Story
9781405929813,Daisy Styles,eBook,,400,$15.99,2017-10-19,ePUB,Christmas with the Bomb Girls The perfect Christmas wartime story to cosy up with this year
9780814413470,Brian Tracy,eBook,,224,$2.99,2009-01-30,ePUB,Reinvention How to Make the Rest of Your Life the Best of Your Life
9780007320936,Barbara Erskine,eBook,,944,$10.99,2009-03-13,ePUB,Child of the Phoenix 
9780385528849,Stephen King,eBook,$12.99,,$16.12,2008-06-24,Format,Night Shift 
9780297857020,Don Felder,eBook,,352,$17.99,2008-09-18,ePUB,"Heaven And Hell My Life In The Eagles, 1974-2001"
9781407068305,Robert Goddard,eBook,,432,$14.99,2010-03-30,ePUB,Out Of The Sun from the BBC 2 Between the Covers author Robert Goddard
9780241987803,Nick Hornby,eBook,,140,$15.99,2019-05-07,ePUB,State of the Union A Marriage in Ten Parts
9780141927138,M M Kaye,eBook,,960,$15.99,2000-01-01,ePUB,The Far Pavilions 
9780938045878,Pavel Tsatsouline,eBook,$13.99,218,$14.66,2003-12-01,ePUB,The Naked Warrior Master the Secrets of the super-Strong--Using Bodyweight Exercises Only
9780544562363,Kristina Carrillo-Bucaram,eBook,,272,$34.99,2016-01-05,ePUB,"The Fully Raw Diet 21 Days to Better Health, with Meal and Exercise Plans, Tips, and 75 Recipes"
9780755357222,Simon Scarrow,eBook,,448,$11.99,2013-10-24,ePUB,The Blood Crows Cato & Macro: Book 12
9780943217123,Karma-glin-pa (Karma Lingpa),eBook,,,$4.39,2010-09-13,Format,The Tibetan Book of the Dead 
9780718186395,Anthony Mosawi,eBook,,400,$15.99,2018-06-01,ePUB,Trust No One I Am Pilgrim meets Orphan X in this explosive thriller. You won't be able to put it down
9780716022527,Kris Dhillon,eBook,,160,$6.99,2009-10-09,ePUB,The Curry Secret How to Cook Real Indian Restaurant Meals at Home
9780755399611,Anne Baker,eBook,,384,$11.99,2013-11-21,ePUB,A Liverpool Legacy An unexpected tragedy forces a family to fight for survival...
9780141930961,Gervase Phinn,eBook,,144,$14.99,2009-11-05,ePUB,A Load of Old Tripe 
9780575104181,Brandon Sanderson,eBook,,400,$11.99,2013-09-26,ePUB,Steelheart 
9780748109258,Patricia Cornwell,eBook,,480,$11.99,2008-09-04,ePUB,Black Notice 
9780698140325,Anna Lee Huber,eBook,$11.99,1,$13.70,2014-07-01,ePUB,A Grave Matter 
9780141185071,John Steinbeck,Paperback,$20.40,640,$22.99,2003-10-01,Paperback,East of Eden 
9780753546413,Peter Kelder,eBook,,128,$18.99,2011-10-06,ePUB,The Ancient Secret of the Fountain of Youth 
9781118968079,,,,,$41.79,,Format,Value Proposition Design How to Create Products and Services Customers Want
9781405937085,"Clive Cussler,Robin Burcell",eBook,,400,$15.99,2018-05-31,ePUB,The Grey Ghost Fargo Adventures #10
9781407039206,Andy McNab,eBook,,512,$15.99,2008-10-02,ePUB,Deep Black (Nick Stone Book 7)
9780525520375,Tommy Orange,Hardcover,,304,$51.75,2018-06-05,Hardcover,There There 
9780718186111,Michelle Richmond,eBook,,400,$15.99,2017-07-27,ePUB,The Marriage Pact The bestselling thriller for fans of THE COUPLE NEXT DOOR
9780755375523,Martina Cole,eBook,,300,$11.99,2010-10-14,ePUB,"The Family A dark thriller of loyalty, crime and corruption"
9780241283523,Cara Hunter,eBook,,384,$15.99,2019-03-22,ePUB,No Way Out The most gripping book of the year from the Richard and Judy Bestselling author
9780544444683,Dominique Crenn,eBook,$58.99,376,$72.59,2018-06-01,ePUB,Atelier Crenn Metamorphosis of Taste
9781405525848,Ann Leckie,eBook,,432,$12.99,2013-10-01,ePUB,Ancillary Justice Imperial Radch: Book 1
9781405512008,David Gemmell,eBook,,384,$11.99,2011-12-01,ePUB,Waylander 
9780241281130,Gaia Vince,eBook,,320,$16.99,2019-11-07,ePUB,"Transcendence How Humans Evolved through Fire, Language, Beauty, and Time"
9780141983493,Gregory Claeys,eBook,,256,$14.99,2018-04-05,ePUB,Marx and Marxism 
9780241355244,Jamie Littler,eBook,,209,$9.99,2019-10-03,ePUB,Frostheart 
9780141906003,Catherine Bailey,eBook,,544,$15.99,2008-03-06,ePUB,Black Diamonds The Rise and Fall of an English Dynasty
9781927100158,Angela Dorsey,eBook,,,$0.00,2016-03-15,Format,Winter of the Crystal Dances 
9780857896384,Nick Alexander,eBook,,300,$5.99,2011-08-01,ePUB,Better Than Easy 
9780091816971,Spencer Johnson,Paperback,$18.25,96,$19.99,1999-04-01,Paperback,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life
9780241957493,Rhidian Brook,eBook,,336,$15.99,2013-05-02,ePUB,The Aftermath Now A Major Film Starring Keira Knightley
9780141956831,Gervase Phinn,eBook,,352,$15.99,2001-03-29,ePUB,Over Hill and Dale 
9780755351985,Jill Mansell,eBook,,300,$11.99,2008-02-10,ePUB,The One You Really Want the perfect heart-warming read from the bestselling author
9781407021010,Aldous Huxley,eBook,,272,$15.99,2008-12-26,ePUB,Brave New World 
9780141916231,Lisa Jewell,eBook,,432,$15.99,2005-08-04,ePUB,A Friend of the Family The addictive and emotionally satisfying page-turner that will have you hooked
9780755387298,"James Patterson,Maxine Paetro",eBook,,338,$12.99,2011-04-28,ePUB,The 6th Target 
9780743492621,Brad Thor,eBook,,352,$9.99,2004-01-27,ePUB,State of the Union Scot Harvath : Book 3
9780748130825,Jim Butcher,eBook,,464,$12.99,2014-05-27,ePUB,"Skin Game The Dresden Files, Book Fifteen"
9781473563742,Rob Hart,eBook,,368,$15.99,2019-08-13,ePUB,"The Warehouse A brilliantly imagined, thought-provoking and exciting Orwellian thriller"
9780547370224,George Orwell,eBook,,,$4.79,2009-07-01,Format,Animal Farm A Fairy Story
9780241985441,Dinah Jefferies,eBook,,400,$15.99,2019-02-28,ePUB,The Missing Sister 
9780241981115,Sam Conniff Allende,eBook,,320,$15.99,2018-05-03,ePUB,Be More Pirate Or How to Take On the World and Win
9780748116393,Mark Billingham,eBook,,352,$11.99,2010-08-19,ePUB,From The Dead 
9780785182979,"Dan Slott,Stefano Caselli,Humberto Ramos",eBook,$17.99,,$21.99,2014-09-03,Format,Spider-Man Ends of the Earth
9780575088498,Daniel Keyes,eBook,,224,$9.99,2012-11-15,ePUB,Flowers For Algernon The must-read literary science fiction masterpiece
9780786752164,"Brian Cox,Jeff Forshaw",eBook,,264,$13.99,2009-07-14,ePUB,Why Does E=mc2? (And Why Should We Care?)
9780141968582,Robert C. O'Brien,eBook,,256,$9.99,2011-01-06,ePUB,Mrs Frisby and the Rats of NIMH 
9780241978504,Joe Moran,eBook,,256,$15.99,2018-09-27,ePUB,"First You Write a Sentence. The Elements of Reading, Writing ... and Life."
9780307237811,Jack Weatherford,eBook,$20.99,,$25.70,2005-03-22,Format,Genghis Khan and the Making of the Modern World 
9780755385171,Sue Monk Kidd,eBook,,225,$12.99,2011-02-03,ePUB,"The Secret Life of Bees The stunning multi-million bestselling novel about a young girl's journey; poignant, uplifting and unforgettable"
9780141331584,Rick Riordan,eBook,,544,$12.99,2010-05-04,ePUB,The Red Pyramid (The Kane Chronicles Book 1) The Red Pyramid
9780446540421,Joyce Meyer,eBook,,,$8.99,2008-03-25,Format,Battlefield of the Mind Winning the Battle in Your Mind
9780241981412,Vanessa Van Edwards,eBook,,256,$15.99,2017-05-04,ePUB,Captivate The Science of Succeeding with People
9781405934169,Stephen Fry,eBook,,400,$15.99,2017-11-02,ePUB,Mythos The Greek Myths Retold
9780748128808,Simon Mawer,eBook,,320,$11.99,2012-05-03,ePUB,The Girl Who Fell From The Sky 
9780241978825,Dinah Jefferies,eBook,,400,$15.99,2017-02-23,ePUB,Before the Rains 
9780141903187,Evelyn Waugh,eBook,,336,$15.99,2012-07-26,ePUB,Brideshead Revisited The Sacred and Profane Memories of Captain Charles Ryder
9780316221016,Walter R. Borneman,eBook,,480,$17.99,2014-05-06,ePUB,"American Spring Lexington, Concord, and the Road to Revolution"
9780871409508,"Mary Shelley,Leslie S. Klinger,Guillermo del Toro,Anne K. Mellor",eBook,$43.99,416,$54.95,2017-08-08,ePUB,The New Annotated Frankenstein (The Annotated Books) 
9780755349296,"James Patterson,Maxine Paetro",Paperback,$20.40,448,$22.99,2009-09-01,Paperback,4th of July Women's Murder Club : Book 4
9780316388696,Ann Leckie,Hardcover,,432,$62.90,2019-02-26,Hardcover,The Raven Tower 
9780748109296,Mark Billingham,eBook,,528,$12.99,2008-09-04,ePUB,Buried 
9780755375608,Martina Cole,eBook,,512,$11.99,2012-09-13,ePUB,The Life 
9781405921527,Conn Iggulden,eBook,,480,$15.99,2018-05-03,ePUB,The Falcon of Sparta The gripping and battle-scarred adventure from The Sunday Times bestselling author of Empire
9780755349388,James Patterson,Paperback,$20.40,448,$22.99,2010-08-01,Paperback,London Bridges Alex Cross: Book 10
9780755397860,Paul Doherty,eBook,,219,$11.99,2013-06-06,ePUB,The Last of Days A gripping mystery of the Tudor Court
9781250166548,Brandon Sanderson,Hardcover,,272,$21.25,2017-10-17,Hardcover,Edgedancer From the Stormlight Archive
9780748133918,Elizabeth Chadwick,eBook,,496,$19.99,2014-09-11,ePUB,The Winter Crown 
9781408806197,Daniel Goleman,eBook,$17.99,394,$19.99,2009-07-20,ePUB,Working with Emotional Intelligence 
9781405928557,Gregg Hurwitz,eBook,,400,$15.99,2019-02-07,ePUB,Out of the Dark The gripping Sunday Times bestselling thriller
9780141908359,"Fyodor Dostoyevsky,Fuel,David McDuff",eBook,,720,$10.99,2003-01-30,ePUB,Crime and Punishment 
9781302013677,"Brian Michael Bendis,Various",eBook,$12.99,,$16.12,2019-03-06,Format,Guardians Of The Galaxy Vol. 1 Cosmic Avengers
9780241335444,John Green,eBook,,336,$9.99,2017-10-10,ePUB,Turtles All the Way Down Now a major film
9780141966649,Eoin Colfer,eBook,,320,$9.99,2010-06-03,ePUB,Artemis Fowl 
9780141905822,"Penelope Fitzgerald,J L Carr",eBook,,112,$15.99,2011-12-01,ePUB,A Month in the Country 
9780748131327,Walter Isaacson,eBook,,448,$13.99,2011-10-24,ePUB,Steve Jobs The Exclusive Biography
9780356507224,Benedict Jacka,eBook,,384,$11.99,2018-07-03,ePUB,Marked An Alex Verus Novel from the New Master of Magical London
9780544369979,Christopher Knowlton,eBook,$29.99,464,$37.39,2024-02-27,ePUB,Cattle Kingdom The Hidden History of the Cowboy West
9781409021551,John Grisham,eBook,,464,$15.99,2010-11-09,ePUB,The Confession A gripping crime thriller from the Sunday Times bestselling author of mystery and suspense
9780241304297,"Georges Simenon,Ros Schwartz",eBook,,160,$15.99,2019-09-05,ePUB,Maigret and the Wine Merchant Inspector Maigret #71
9781405937528,Raynor Winn,eBook,,320,$14.99,2018-03-22,ePUB,"The Salt Path The prize-winning, Sunday Times bestseller from the million-copy bestselling author"
9781405525671,Jenny Colgan,eBook,,432,$12.99,2013-11-07,ePUB,Christmas at Rosie Hopkins' Sweetshop 
9780141937342,David Niven,eBook,,336,$15.99,2005-04-28,ePUB,The Moon's a Balloon The Guardian's Number One Hollywood Autobiography
9781101604045,Julia Ross,eBook,$17.99,,$22.29,2012-05-02,Format,"The Diet Cure The 8-Step Program to Rebalance Your Body Chemistry and End Food Cravings, Weight Gain, and Mood Swings--Naturally"
9780297867319,Maria Semple,eBook,,304,$11.99,2012-06-07,ePUB,"Where'd You Go, Bernadette Soon to be a major film starring Cate Blanchett"
9780753555200,"Peter Thiel,Blake Masters",Paperback,$21.75,224,$24.99,2015-06-04,Paperback,"Zero to One Notes on Start Ups, or How to Build the Future"
9780749954215,J.D. Robb,Paperback,$20.35,416,$22.99,2011-01-01,Paperback,Glory in Death In Death: Book 2
9781405928281,Gillian McAllister,eBook,,400,$15.99,2017-10-19,ePUB,Anything You Do Say THE ADDICTIVE psychological thriller from the Sunday Times bestselling author
9780141967448,John le Carré,eBook,,416,$15.99,2011-05-26,ePUB,The Secret Pilgrim George Smiley: Book 8
9780007350865,Charles Dickens,Paperback,,144,$8.25,2010-04-01,Paperback,A Christmas Carol Collins Classics
9780748113378,Margaret Atwood,eBook,,432,$12.99,2010-07-27,ePUB,The Year Of The Flood 
9780141900834,Sue Townsend,eBook,,464,$15.99,2007-09-06,ePUB,Queen Camilla 
9780307982773,"Leslie McGuire,Joe Mathieu",eBook,$7.99,,$8.79,2014-08-27,Format,Big Frank's Fire Truck 
9781407024776,"Tracy Hogg,Melinda Blau",eBook,,304,$19.99,2009-12-01,ePUB,"Secrets Of The Baby Whisperer How to Calm, Connect and Communicate with your Baby"
9780748129089,J. R. Ward,eBook,,480,$11.99,2011-02-03,ePUB,Dark Lover Number 1 in series
9780785178262,"Chris Claremont,Jim Lee",eBook,$15.99,,$19.06,2014-11-05,Format,X-Men Mutant Genesis
9780141930015,Kathryn Stockett,eBook,,464,$15.99,2009-07-23,ePUB,The Help 
9780141911113,"Raymond Chandler,Ian Rankin",eBook,,224,$15.99,2005-07-07,ePUB,The Big Sleep 
9780743499965,Vonda N. McIntyre,eBook,,464,$23.99,2004-10-26,ePUB,"Star Trek Signature Edition: Duty, Honor, Redemption"
9780718186494,C. F. Iggulden,eBook,,352,$15.99,2017-07-13,ePUB,Darien Empire of Salt Book I
9780857077295,Sophie McKenzie,eBook,,304,$10.99,2012-09-13,ePUB,Missing Me 
9780755387359,James Patterson,eBook,,335,$12.99,2011-06-23,ePUB,Violets are Blue 
9780356512280,David Wellington,eBook,,384,$12.99,2019-07-23,ePUB,The Last Astronaut Shortlisted for the Arthur C. Clarke Award
9780241976579,Susan David,eBook,,272,$15.99,2016-04-07,ePUB,"Emotional Agility Get Unstuck, Embrace Change and Thrive in Work and Life"
9780755352449,Victoria Hislop,eBook,,300,$11.99,2008-02-10,ePUB,The Island The million-copy Number One bestseller 'A moving and absorbing holiday read'
9781250185464,Martha Wells,eBook,$16.99,,$20.53,2018-10-02,Format,Exit Strategy The Murderbot Diaries
9780755352012,Jill Mansell,eBook,,300,$12.99,2008-02-10,ePUB,An Offer You Can't Refuse The absolutely IRRESISTIBLE Sunday Times bestseller . . . Your feelgood read for spring!
9780393347777,Charles Wheelan,Paperback,$22.25,304,$29.95,2014-01-13,Paperback,Naked Statistics Stripping the Dread from the Data
9781370483051,T.A. White,eBook,,,$5.48,2017-11-28,Format,Mist's Edge 
9780753553084,James Reed,eBook,,208,$18.99,2019-01-03,ePUB,The 7 Second CV How to Land the Interview
9780141923505,"David Wyatt,John Steinbeck",eBook,,640,$15.99,2000-09-07,ePUB,East of Eden 
9781370211678,Andromeda Jones,eBook,,,$0.00,2017-03-01,Format,"Spanish for Geniuses Verbs, Pronouns, Prepositions and Beginner Vocabulary"
9780297860242,Gillian Flynn,eBook,,336,$11.99,2009-09-03,ePUB,"Sharp Objects A major HBO & Sky Atlantic Limited Series starring Amy Adams, from the director of BIG LITTLE LIES, Jean-Marc Vallee"
9780857388926,Elly Griffiths,eBook,,400,$11.99,2014-01-30,ePUB,The Outcast Dead The Dr Ruth Galloway Mysteries 6
9780297868385,Hairy Bikers,eBook,,224,$19.99,2012-03-01,ePUB,The Hairy Bikers' Big Book of Baking 
9781405938259,"Emer McLysaght,Sarah Breen",eBook,,416,$15.99,2019-09-19,ePUB,"Once, Twice, Three Times an Aisling "
9780141924434,Elizabeth Buchan,eBook,,384,$15.99,2007-08-02,ePUB,Revenge of the Middle-Aged Woman 
9780297855873,Gillian Flynn,eBook,$11.99,368,$12.99,2009-05-14,ePUB,Dark Places 
9780141909776,Marian Keyes,eBook,,912,$15.99,2008-04-30,ePUB,This Charming Man 
9780141397030,Laurie Lee,eBook,,224,$14.99,2014-06-26,ePUB,As I Walked Out One Midsummer Morning 
